Set,Problem,Initial,Move,Feasibility,size,nImprove,nNeutral,nWorse,nWorseOK,nnFrac
Act-IF,Act-IF-a,PS_5R_best,relocate,infeasible,304,1,12,10029,108,1.00
Act-IF,Act-IF-a,PS_5R_best,relocate,feasible,304,0,35,35521,739,1.00
Act-IF,Act-IF-a,PS_5R_best,exchange,infeasible,304,0,0,6768,31,1.00
Act-IF,Act-IF-a,PS_5R_best,exchange,feasible,304,0,7,37925,283,1.00
Act-IF,Act-IF-a,PS_5R_best,cross,infeasible,304,11,68,10948,394,1.00
Act-IF,Act-IF-a,PS_5R_best,cross,feasible,304,0,0,0,0,1.00
Act-IF,Act-IF-a,PS_5R_best,flip,infeasible,304,0,0,0,0,1.00
Act-IF,Act-IF-a,PS_5R_best,flip,feasible,304,0,14,137,95,1.00
Act-IF,Act-IF-a,IM_best,relocate,infeasible,304,0,0,0,0,1.00
Act-IF,Act-IF-a,IM_best,relocate,feasible,304,0,61,45537,3594,1.00
Act-IF,Act-IF-a,IM_best,exchange,infeasible,304,0,0,0,0,1.00
Act-IF,Act-IF-a,IM_best,exchange,feasible,304,0,10,44690,1263,1.00
Act-IF,Act-IF-a,IM_best,cross,infeasible,304,12,100,10915,1276,1.00
Act-IF,Act-IF-a,IM_best,cross,feasible,304,0,0,0,0,1.00
Act-IF,Act-IF-a,IM_best,flip,infeasible,304,0,0,0,0,1.00
Act-IF,Act-IF-a,IM_best,flip,feasible,304,0,15,136,131,1.00
Act-IF,Act-IF-a,U_5R_best,relocate,infeasible,304,1,13,10136,957,1.00
Act-IF,Act-IF-a,U_5R_best,relocate,feasible,304,0,40,35408,5136,1.00
Act-IF,Act-IF-a,U_5R_best,exchange,infeasible,304,0,0,6984,234,1.00
Act-IF,Act-IF-a,U_5R_best,exchange,feasible,304,0,7,37709,1915,1.00
Act-IF,Act-IF-a,U_5R_best,cross,infeasible,304,11,68,10948,1955,1.00
Act-IF,Act-IF-a,U_5R_best,cross,feasible,304,0,0,0,0,1.00
Act-IF,Act-IF-a,U_5R_best,flip,infeasible,304,0,0,0,0,1.00
Act-IF,Act-IF-a,U_5R_best,flip,feasible,304,0,16,135,132,1.00
Act-IF,Act-IF-b,PS_5R_best,relocate,infeasible,804,9,38,128337,564,1.00
Act-IF,Act-IF-b,PS_5R_best,relocate,feasible,804,0,151,196263,3657,1.00
Act-IF,Act-IF-b,PS_5R_best,flip,infeasible,804,0,0,0,0,1.00
Act-IF,Act-IF-b,PS_5R_best,flip,feasible,804,0,38,363,301,1.00
Act-IF,Act-IF-b,PS_5R_best,cross,infeasible,804,11,220,75048,1578,1.00
Act-IF,Act-IF-b,PS_5R_best,cross,feasible,804,0,14,3318,67,1.00
Act-IF,Act-IF-b,PS_5R_best,exchange,infeasible,804,1,4,114151,201,1.00
Act-IF,Act-IF-b,PS_5R_best,exchange,feasible,804,0,22,205030,1063,1.00
Act-IF,Act-IF-b,IM_best,relocate,infeasible,804,0,1,6357,133,1.00
Act-IF,Act-IF-b,IM_best,relocate,feasible,804,0,261,318179,11217,1.00
Act-IF,Act-IF-b,IM_best,flip,infeasible,804,0,0,0,0,1.00
Act-IF,Act-IF-b,IM_best,flip,feasible,804,0,28,373,354,1.00
Act-IF,Act-IF-b,IM_best,cross,infeasible,804,46,346,69613,3508,1.00
Act-IF,Act-IF-b,IM_best,cross,feasible,804,0,58,8548,530,1.00
Act-IF,Act-IF-b,IM_best,exchange,infeasible,804,0,1,5343,48,1.00
Act-IF,Act-IF-b,IM_best,exchange,feasible,804,0,61,313803,4145,1.00
Act-IF,Act-IF-b,U_5R_best,relocate,infeasible,804,0,7,34799,3613,1.00
Act-IF,Act-IF-b,U_5R_best,relocate,feasible,804,0,171,289821,44768,1.00
Act-IF,Act-IF-b,U_5R_best,exchange,infeasible,804,0,3,28817,1141,1.00
