X,TI,AB,CARP..Yes.No.,Exact.Lower.Bounds,Heuristics,Evolutionary,Variant,Alt_variant,Investigate,Comments,Source,author,year,title,journal
"ZHANG W, 2015, KNOWLEDGE SCIENCE, ENGINEERING AND MANAGEMENT, KSEM 2015",A PARTITIONING ALGORITHM FOR SOLVING CAPACITATED ARC ROUTING PROBLEM IN WAYS OF RANKING FIRST CUTTING SECOND,"CAPACITATED ARC ROUTING PROBLEM (CARP) IS ONE OF THE HOT ISSUES OF LOGISTICS RESEARCH. SPECIFICALLY, RANKING FIRST CUTTING SECOND (RFCS) COULD BE USED. THIS RESEARCH PROPOSED A NOVEL PARTITIONING ALGORITHM - THE MULTI-LABEL ALGORITHM WHICH OBTAINED BETTER TSP PATHS MEETING THE BACKPACK LIMIT ON THE BASIS OF A COMPLETE TSP RETURN. IN ADDITION, BY EXPERIMENTAL VERIFICATION ON QUESTIONS IN THE STANDARD QUESTION DATABASE, THE EXPERIMENTAL RESULTS SHOWED THAT COMPARED WITH GENERAL PARTITIONING ALGORITHMS, FOR THE SAME COMPLETE TSP RETURN, MANY TSP PATHS WITH THE SHORTEST TOTAL LENGTH COULD BE OBTAINED BY THE MULTI-LABEL ALGORITHM.",1,0,1,0,Capacitated Arc Routing Problem,Capacitated Arc Routing Problem,,,,TANG K;WANG J;LI X;YAO X,2017,A SCALABLE APPROACH TO CAPACITATED ARC ROUTING PROBLEMS BASED ON HIERARCHICAL DECOMPOSITION,IEEE TRANSACTIONS ON CYBERNETICS
"YE Z, 2016, 2016 IEEE CONGRESS ON EVOLUTIONARY COMPUTATION (CEC)",A PRELIMINARY STUDY ON DISTANCE SELECTION IN PROBABILISTIC MEMETIC FRAMEWORK FOR CAPACITATED ARC ROUTING PROBLEM,"MEMETIC ALGORITHMS (MAS), WHICH HAVE MATERIALIZED AS A FUSION OF POPULATION BASED GLOBAL SEARCH AND INDIVIDUAL LIFETIME LEARNING (I.E., LOCAL SEARCH) IN THE LITERATURE, HAVE BEEN WIDELY USED IN REAL WORLD APPLICATIONS TO SOLVE COMPLEX OPTIMIZATION PROBLEMS. THE BALANCE OF GLOBAL AND LOCAL SEARCH IN MA PLAYS A KEY ROLE IN DEFINING THE PERFORMANCE OF MA IN PROBLEM SOLVING. THE PROBABILISTIC MEMETIC FRAMEWORK (PMF) WAS THUS INTRODUCED TO MODEL MA AS A PROCESS INVOLVING THE DECISION OF EMBRACING THE SEPARATE ACTIONS OF GLOBAL OR LOCAL SEARCH. PMF BALANCES THESE TWO ACTIONS BY GOVERNING THE LOCAL SEARCH INTENSITY OF EACH INDIVIDUAL BASED ON A THEORETICAL UPPER BOUND DERIVED WHILE THE SEARCH PROGRESSES. TO USE PMF FOR SOLVING COMBINATORIAL OPTIMIZATION PROBLEMS, ACCORDING TO OUR PREVIOUS STUDY [1], WE NOTE THAT THE APPROPRIATE SELECTION OF A DISTANCE METRIC FOR ESTIMATING THE LOCAL SEARCH INTENSITY IS A CRITICAL ROLE. NEVERTHELESS, TO THE BEST OF OUR KNOWLEDGE, LITTLE OR NO RESEARCH WORKS IN THE LITERATURE HAS STUDIED ON SUITABLE DISTANCE METRIC FOR PMF IN THE CONTEXT OF COMBINATORIAL OPTIMIZATION PROBLEMS. IN THIS PAPER, WE ATTEMPT TO FILL THIS GAP BY PRESENTING A PRELIMINARY STUDY ON THE SELECTION OF DISTANCE METRIC IN PMF FOR CAPACITATED ARC ROUTING PROBLEM (CARP). IN PARTICULAR, WE FIRST ANALYZE THE SUITABILITY OF 4 EXISTING POPULAR DISTANCE METRICS USED IN COMBINATORIAL OPTIMIZATION FOR SOLVING CARP. SUBSEQUENTLY A SCORE BASED ON CLOSENESS OF NEIGHBORHOOD AND FITNESS LANDSCAPE CORRELATION IS PROPOSED TO QUANTIFY THE SUITABILITY OF A DISTANCE METRIC IN ESTIMATING THE LOCAL SEARCH INTENSITY FOR PMF IN THE CONTEXT OF COMBINATORIAL OPTIMIZATION. EXPERIMENTAL STUDY ON 24 EGL CARP BENCHMARK INSTANCES HIGHLIGHTED THE SIGNIFICANCE OF CHOICE OF APPROPRIATE DISTANCE METRIC IN PMF FOR SOLVING COMBINATORIAL OPTIMIZATION PROBLEMS, WITH 4 NEW BEST KNOWN CARP SOLUTIONS ESTABLISHED IN THE PRESENT STUDY.",1,0,1,1,Capacitated Arc Routing Problem,Capacitated Arc Routing Problem,,,,WOHLK S;LAPORTE G,2017,COMPUTATIONAL COMPARISON OF SEVERAL GREEDY ALGORITHMS FOR THE MINIMUM COST PERFECT MATCHING PROBLEM ON LARGE GRAPHS,COMPUTERS \& OPERATIONS RESEARCH
"TANG K, 2017, IEEE T CYBERN",A SCALABLE APPROACH TO CAPACITATED ARC ROUTING PROBLEMS BASED ON HIERARCHICAL DECOMPOSITION,"THE CAPACITATED ARC ROUTING PROBLEM (CARP) IS A CHALLENGING OPTIMIZATION PROBLEM WITH LOTS OF APPLICATIONS IN THE REAL WORLD. NUMEROUS APPROACHES HAVE BEEN PROPOSED TO TACKLE THIS PROBLEM. MOST OF THESE METHODS, ALBEIT SHOWING GOOD PERFORMANCE ON CARP INSTANCES OF SMALL AND MEDIAN SIZES, DO NOT SCALE WELL TO LARGE-SCALE CARPS, E.G., TAKING AT LEAST A FEW HOURS TO ACHIEVE A SATISFACTORY SOLUTION ON A CARP INSTANCE WITH THOUSANDS OF TASKS. IN THIS PAPER, AN EFFICIENT AND SCALABLE APPROACH IS PROPOSED FOR CARPS. THE KEY IDEA OF THE PROPOSED APPROACH IS TO HIERARCHICALLY DECOMPOSE THE TASKS INVOLVED IN A CARP INSTANCE INTO SUBGROUPS AND SOLVE THE INDUCED SUBPROBLEMS RECURSIVELY. THE OUTPUT OF THE SUBPROBLEMS AT THE LOWER LAYER IN THE HIERARCHY IS TREATED AS VIRTUAL TASKS AND NEW SUBPROBLEMS ARE FORMULATED BASED ON THESE VIRTUAL TASKS USING CLUSTERING TECHNIQUES. BY THIS MEANS, THE NUMBER OF TASKS (OR VIRTUAL TASKS) DECREASES RAPIDLY FROM THE BOTTOM TO THE TOP LAYERS OF THE HIERARCHY, AND THE SIZES OF ALL SUBPROBLEMS AT EACH LAYER CAN BE KEPT TRACTABLE EVEN FOR VERY LARGE-SCALE CARPS. EMPIRICAL STUDIES ARE CONDUCTED ON CARP INSTANCES WITH UP TO 3584 TASKS, WHICH ARE AN ORDER OF MAGNITUDE LARGER THAN THE NUMBER OF TASKS INVOLVED IN ALL CARP INSTANCES INVESTIGATED IN THE LITERATURE. THE RESULTS SHOW THAT THE PROPOSED APPROACH SIGNIFICANTLY OUTPERFORMS EXISTING METHODS IN TERMS OF SCALABILITY. SINCE THE PROPOSED HIERARCHICAL DECOMPOSITION SCHEME IS DESIGNED TO OBTAIN A GOOD PERMUTATION OF TASKS IN A CARP INSTANCE, IT MAY ALSO BE GENERALIZED TO OTHER HARD OPTIMIZATION PROBLEMS THAT CAN BE FORMULATED AS PERMUTATION-BASED OPTIMIZATION PROBLEMS.",1,0,1,0,Capacitated Arc Routing Problem,Capacitated Arc Routing Problem,,Large scale problems,,CANDIDA MOURAO M;PINTO LS,2017,AN UPDATED ANNOTATED BIBLIOGRAPHY ON ARC ROUTING PROBLEMS,NETWORKS
"VECCHI TPB, 2016, PROCESS SAF ENVIRON PROTECT",A SEQUENTIAL APPROACH FOR THE OPTIMIZATION OF TRUCK ROUTES FOR SOLID WASTE COLLECTION,"THE MAIN OBJECTIVE OF THIS PAPER IS TO PRESENT A SEQUENTIAL APPROACH INVOLVING THREE PHASES FOR SOLVING THE OPTIMIZATION PROBLEM OF TRUCK ROUTES FOR THE COLLECTION OF SOLID WASTE. THE FIRST PHASE EXECUTES THE GROUPING OF ARCS BASED ON AN ADAPTED MODEL OF THE P-MEDIAN PROBLEM, FORMULATED AS A PROBLEM OF BINARY INTEGER LINEAR PROGRAMMING (BILP). THE SECOND PHASE REFERS TO THE DEVELOPMENT OF A MODEL FOR THE SOLUTION TO THE CAPACITATED ARC ROUTING PROBLEM (CARP), FORMULATED AS A MIXED INTEGER LINEAR PROGRAMMING (MILP) PROBLEM. THE THIRD PHASE CARRIES OUT THE APPLICATION OF AN ADAPTED ALGORITHM OF HIERHOLZER FOR SEQUENCING THE ARCS OBTAINED IN THE PRECEDING PHASE. THE PROPOSED METHODOLOGY WAS TESTED USING REAL DATA AND EFFICIENTLY SOLVED THE PROBLEM. THE RESULTS LED TO A REDUCTION IN THE DISTANCES TRAVELED BY TRUCKS, WHICH COULD PROMOTE MONEY SAVINGS FOR THE PUBLIC COFFERS, AS WELL AS A REDUCTION IN CARBON DIOXIDE EMISSIONS. (C) 2016 THE INSTITUTION OF CHEMICAL ENGINEERS. PUBLISHED BY ELSEVIER B.V. ALL RIGHTS RESERVED.",1,0,1,0,Capacitated Arc Routing Problem,Capacitated Arc Routing Problem,,,,VAN BEVERN R;KOMUSIEWICZ C;SORGE M,2017,A PARAMETERIZED APPROXIMATION ALGORITHM FOR THE MIXED AND WINDY CAPACITATED ARC ROUTING PROBLEM: THEORY AND EXPERIMENTS,NETWORKS
"GREISTORFER P, 2003, COMPUT IND ENG",A TABU SCATTER SEARCH METAHEURISTIC FOR THE ARC ROUTING PROBLEM,"WE CONSIDER A SPECIAL ROUTING PROBLEM WHICH HAS A VARIETY OF PRACTICAL APPLICATIONS. IN A GRAPH-THEORETIC CONTEXT IT IS KNOWN AS THE CAPACITATED CHINESE POSTMAN PROBLEM. GIVEN AN UNDIRECTED NETWORK IN WHICH THE DEMAND IS LOCATED ON EDGES, THE GOAL IS TO DETERMINE A LEAST-COST SCHEDULE OF ROUTES. THE ROUTE DEMANDS, WHICH MUST NOT EXCEED THE VEHICLE CAPACITY, ARE SERVICED BY A FLEET OF VEHICLES WHICH IS LOCATED AT A SINGLE DEPOT NODE. WE PRESENT A METAHEURISTIC BASED ON A TABU SEARCH PROCEDURE THAT MAKES USE OF THE SCATTER SEARCH PARADIGM. THE COMPUTATIONAL RESULTS INDICATE THAT THE ALGORITHMS PROPOSED CAN KEEP UP WITH OTHER ARC ROUTING HEURISTICS. (C) 2002 ELSEVIER SCIENCE LTD. ALL RIGHTS RESERVED.",1,0,1,0,Capacitated Arc Routing Problem,Capacitated Arc Routing Problem,,,,VIDAL T,2017,"NODE, EDGE, ARC ROUTING AND TURN PENALTIES: MULTIPLE PROBLEMS-ONE NEIGHBORHOOD EXTENSION",OPERATIONS RESEARCH
"HERTZ A, 2000, OPER RES",A TABU SEARCH HEURISTIC FOR THE CAPACITATED ARC ROUTING PROBLEM,"THE CAPACITATED ARE ROUTING PROBLEM ARISES IN SEVERAL CONTEXTS WHERE STREETS OR ROADS MUST BE TRAVERSED FOR MAINTENANCE PURPOSES OR FOR THE DELIVERY OF SERVICES. A TABU SEARCH IS PROPOSED FOR THIS DIFFICULT PROBLEM. ON BENCHMARK INSTANCES, IT OUTPERFORMS ALL KNOWN HEURISTICS AND OFTEN PRODUCES A PROVEN OPTIMUM.",1,0,1,0,Capacitated Arc Routing Problem,Capacitated Arc Routing Problem,,,,ARCHETTI C;BERTAZZI L;LAGANA D;VOCATURO F,2017,THE UNDIRECTED CAPACITATED GENERAL ROUTING PROBLEM WITH PROFITS,EUROPEAN JOURNAL OF OPERATIONAL RESEARCH
"HERTZ A, 2001, TRANSP SCI",A VARIABLE NEIGHBORHOOD DESCENT ALGORITHM FOR THE UNDIRECTED CAPACITATED ARC ROUTING PROBLEM,"THE UNDIRECTED CAPACITATED ARE ROUTING PROBLEM (CARP) ARISES NATURALLY IN SEVERAL APPLICATIONS WHERE STREETS REQUIRE MAINTENANCE, OR CUSTOMERS LOCATED ALONG ROAD MUST BE SERVICED. BASIC ALGORITHMIC PROCEDURES HAVE RECENTLY BEEN DEVELOPED FOR THE DESIGN OF HEURISTICS IN AN ARC ROUTING CONTEXT. THIS ARTICLE REPORTS ON THE USE OF THESE BASIC TOOLS IN A VARIABLE NEIGHBORHOOD DESCENT ALGORITHM FOR THE SOLUTION OF THE UNDIRECTED CARP.",1,0,1,0,Capacitated Arc Routing Problem,Capacitated Arc Routing Problem,,,,ZHANG Y;MEI Y;TANG K;JIANG K,2017,MEMETIC ALGORITHM WITH ROUTE DECOMPOSING FOR PERIODIC CAPACITATED ARC ROUTING PROBLEM,APPLIED SOFT COMPUTING
"BELKHELLADI K, 2008, 2008 IEEE CONGRESS ON EVOLUTIONARY COMPUTATION, VOLS 1-8",AN AGENT FRAMEWORK WITH AN EFFICIENT INFORMATION EXCHANGE MODEL FOR DISTRIBUTED GENETIC ALGORITHMS,"GENETIC ALGORITHMS (GAS) ARE POWERFUL SEARCH TECHNIQUES THAT ARE USED TO SOLVE DIFFICULT PROBLEMS IN MANY DISCIPLINES. UNFORTUNATELY, THEY CAN BE VERY DEMANDING IN TERMS OF COMPUTATION LOAD AND MEMORY. PARALLEL GENETIC ALGORITHMS (PGAS) ARE PARALLEL IMPLEMENTATIONS OF GAS WHICH CAN PROVIDE CONSIDERABLE GAINS IN TERMS OF PERFORMANCE AND SCALABILITY. PGAS CAN EASILY BE IMPLEMENTED ON NETWORKS OF HETEROGENEOUS COMPUTERS OR ON PARALLEL MAINFRAMES. IN THIS PAPER, WE INTRODUCE A MULTI-AGENT MODEL CONCEIVED AS A CONCEPTUAL AND PRACTICAL FRAMEWORK FOR DISTRIBUTED GENETIC ALGORITHMS USED BOTH TO REDUCE EXECUTION TIME AND TO GET CLOSER TO OPTIMAL SOLUTIONS. INSTEAD OF USING EXPENSIVE PARALLEL COMPUTING FACILITIES, OUR DISTRIBUTED MODEL IS IMPLEMENTED ON EASILY AVAILABLE NETWORKED PCS. IN ORDER TO SHOW THAT THE PARALLEL COEVOLUTION OF DIFFERENT SUB-POPULATIONS MAY LEAD TO AN EFFICIENT SEARCH STRATEGY, WE DESIGN AN EFFICIENT INFORMATION EXCHANGE STRATEGY BASED ON DIFFERENT DYNAMIC MIGRATION WINDOW METHODS AND A SELECTIVE MIGRATION MODEL. TO EVALUATE THE PROPOSED APPROACH, DIFFERENT KINDS OF EXPERIMENTS HAVE BEEN CONDUCTED ON AN EXTENDED SET OF CAPACITATED ARC ROUTING PROBLEM(CARP). OBTAINED RESULTS SHOW THE PROMISE AND EFFICIENCY OF OUR AGENT-BASED APPROACH.",1,0,1,1,Capacitated Arc Routing Problem,Capacitated Arc Routing Problem,0,Other problems,,COLOMBI M;CORBERAN A;MANSINI R;PLANA I;SANCHIS JM,2017,THE HIERARCHICAL MIXED RURAL POSTMAN PROBLEM: POLYHEDRAL ANALYSIS AND A BRANCH-AND-CUT ALGORITHM,EUROPEAN JOURNAL OF OPERATIONAL RESEARCH
"ARAKAKI RK, 2019, COMPUT OPER RES",AN EFFICIENCY-BASED PATH-SCANNING HEURISTIC FOR THE CAPACITATED ARC ROUTING PROBLEM,"THE CAPACITATED ARC ROUTING PROBLEM (CARP) IS AN IMPORTANT COMBINATORIAL OPTIMIZATION PROBLEM THAT HAS BEEN EXTENSIVELY STUDIED IN THE LAST DECADES. THE OBJECTIVE IS TO OPTIMIZE ROUTES THAT SERVICE DEMANDS LOCATED ON THE EDGES OF A GRAPH, GIVEN A FLEET OF HOMOGENEOUS VEHICLES WITH LIMITED CAPACITY THAT STARTS AND ENDS ITS ROUTES AT A SPECIFIC NODE (DEPOT). THIS WORK PROPOSES A NEW PATH-SCANNING HEURISTIC FOR THE CARP WHICH INTRODUCES THE CONCEPT OF EFFICIENCY RULE. GIVEN THE CURRENT VEHICLE LOCATION, ITS TRAVERSED DISTANCE AND THE AMOUNT OF SERVICED DEMAND, THE EFFICIENCY RULE SELECTS THE MOST PROMISING EDGES TO SERVICE NEXT. COMPUTATIONAL EXPERIMENTS CONDUCTED ON A SET OF BENCHMARK INSTANCES REVEAL THAT THE PROPOSED HEURISTIC SUBSTANTIALLY OUTPERFORMED ALL PREVIOUS PATH-SCANNING HEURISTICS FROM LITERATURE. (C) 2018 ELSEVIER LTD. ALL RIGHTS RESERVED.",1,9,1,0,Capacitated Arc Routing Problem,Capacitated Arc Routing Problem,,,,PORUMBEL D;GONCALVES G;ALLAOUI H;HSU T,2017,ITERATED LOCAL SEARCH AND COLUMN GENERATION TO SOLVE ARC-ROUTING AS A PERMUTATION SET-COVERING PROBLEM,EUROPEAN JOURNAL OF OPERATIONAL RESEARCH
"BELKHELLADI K, 2008, ICINCO 2008: PROCEEDINGS OF THE FIFTH INTERNATIONAL CONFERENCE ON INFORMATICS IN CONTROL, AUTOMATION AND ROBOTICS, VOL ICSO: INTELLIGENT CONTROL SYSTEMS AND OPTIMIZATION",AN EFFICIENT INFORMATION EXCHANGE STRATEGY IN A DISTRIBUTED COMPUTING SYSTEM - APPLICATION TO THE CARP,"DISTRIBUTED COMPUTATION MODELS HAVE BEEN WIDELY USED TO ENHANCE THE PERFORMANCE OF TRADITIONAL EVOLUTIONARY ALGORITHMS, AND HAVE BEEN IMPLEMENTED ON PARALLEL COMPUTERS TO SPEED UP THE COMPUTATION. IN THIS PAPER, WE INTRODUCE A MULTI-AGENT MODEL CONCEIVED AS A CONCEPTUAL AND PRACTICAL FRAMEWORK FOR DISTRIBUTED GENETIC ALGORITHMS USED BOTH TO REDUCE EXECUTION TIME AND GET CLOSER TO OPTIMAL SOLUTIONS. INSTEAD OF USING EXPENSIVE PARALLEL COMPUTING FACILITIES, OUR DISTRIBUTED MODEL IS IMPLEMENTED ON EASILY AVAILABLE NETWORKED PERSONAL COMPUTERS (PCS). IN ORDER TO SHOW THAT THE PARALLEL CO-EVOLUTION OF DIFFERENT SUB-POPULATIONS MAY LEAD TO AN EFFICIENT SEARCH STRATEGY, WE DESIGN A NEW INFORMATION EXCHANGE STRATEGY BASED ON DIFFERENT DYNAMIC MIGRATION WINDOW METHODS AND A SELECTIVE MIGRATION MODEL. TO EVALUATE THE PROPOSED APPROACH, DIFFERENT KINDS OF EXPERIMENTS HAVE BEEN CONDUCTED ON AN EXTENDED SET OF CAPACITATED ARC ROUTING PROBLEM(CARP). OBTAINED RESULTS ARE USEFUL FOR OPTIMIZATION PRACTITIONERS AND SHOW THE EFFICIENCY OF OUR APPROACH.",1,0,1,1,Capacitated Arc Routing Problem,Capacitated Arc Routing Problem,,,,RAO X;YANG P;YAN Y,2017,YOU CAN CHARGE OVER THE ROAD: OPTIMIZING CHARGING TOUR IN URBAN AREA,"WIRELESS ALGORITHMS, SYSTEMS, AND APPLICATIONS, WASA 2017"
