PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	EA	EY	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
S	Ahr, Dino; Reinelt, Gerhard						Corberan, A; Laporte, G		The Capacitated Arc Routing Problem: Combinatorial Lower Bounds								ARC ROUTING: PROBLEMS, METHODS, AND APPLICATIONS		MOS-SIAM Series on Optimization		20				159	181							2014	2014																		1549-2540		978-1-611973-66-2	WOS:000444172100009		
J	Akbari, Vahid; Salman, F. Sibel				Salman, F. Sibel/I-4548-2012	Salman, F. Sibel/0000-0001-6833-2552			Multi-vehicle prize collecting arc routing for connectivity problem								COMPUTERS & OPERATIONS RESEARCH				82				52	68		10.1016/j.cor.2017.01.007					JUN 2017	2017																		0305-0548	1873-765X		WOS:000395602400005		
J	Akbari, Vahid; Salman, F. Sibel				Salman, F. Sibel/I-4548-2012	Salman, F. Sibel/0000-0001-6833-2552			Multi-vehicle synchronized arc routing problem to restore post-disaster network connectivity								EUROPEAN JOURNAL OF OPERATIONAL RESEARCH				257	2			625	640		10.1016/j.ejor.2016.07.043					MAR 1 2017	2017																		0377-2217	1872-6860		WOS:000388776500021		
J	Amaya, C-A; Langevin, A.; Trepanier, M.				Amaya, Ciro-Alberto/B-3536-2008; Langevin, Andre/L-6176-2019	Amaya, Ciro-Alberto/0000-0003-1537-1616; 			A heuristic method for the capacitated arc routing problem with refill points and multiple loads								JOURNAL OF THE OPERATIONAL RESEARCH SOCIETY				61	7			1095	1103		10.1057/jors.2009.58					JUL 2010	2010																		0160-5682	1476-9360		WOS:000278860900004		
J	Araoz, Julian; Fernandez, Elena; Franquesa, Carles				Fernandez, Elena/E-1799-2012	Fernandez, Elena/0000-0003-4714-0257			GRASP and Path Relinking for the Clustered Prize-collecting Arc Routing Problem								JOURNAL OF HEURISTICS				19	2	SI		343	371		10.1007/s10732-011-9183-1					APR 2013	2013																		1381-1231	1572-9397		WOS:000316762000012		
J	Arbib, Claudio; Servilio, Mara; Archetti, Claudia; Speranza, M. Grazia					Speranza, Maria Grazia/0000-0002-8893-5227; Arbib, Claudio/0000-0002-0866-3795			The directed profitable location Rural Postman Problem								EUROPEAN JOURNAL OF OPERATIONAL RESEARCH				236	3	SI		811	819		10.1016/j.ejor.2013.07.018					AUG 1 2014	2014																		0377-2217	1872-6860		WOS:000335207100004		
J	Archetti, C.; Guastaroba, G.; Speranza, M. G.					Speranza, Maria Grazia/0000-0002-8893-5227; Guastaroba, Gianfranco/0000-0002-7810-4112			Reoptimizing the rural postman problem								COMPUTERS & OPERATIONS RESEARCH				40	5			1306	1313		10.1016/j.cor.2012.12.010					MAY 2013	2013																		0305-0548	1873-765X		WOS:000317165200015		
J	Archetti, C.; Guastaroba, G.; Speranza, M. G.					Guastaroba, Gianfranco/0000-0002-7810-4112; Speranza, Maria Grazia/0000-0002-8893-5227			An ILP-refined tabu search for the Directed Profitable Rural Postman Problem								DISCRETE APPLIED MATHEMATICS				163		SI		3	16		10.1016/j.dam.2012.06.002					JAN 30 2014	2014																		0166-218X	1872-6771		WOS:000330084000002		
S	Archetti, Claudia; Speranza, M. Grazia						Corberan, A; Laporte, G		Arc Routing Problems with Profits								ARC ROUTING: PROBLEMS, METHODS, AND APPLICATIONS		MOS-SIAM Series on Optimization		20				281	299							2014	2014																		1549-2540		978-1-611973-66-2	WOS:000444172100013		
J	Archetti, Claudia; Corberan, Angel; Plana, Isaac; Sanchis, Jose M.; Grazia Speranza, M.				SANCHIS, JOSE M/H-5912-2015	SANCHIS, JOSE M/0000-0002-0039-8122; Corberan, Angel/0000-0002-0664-4232; Speranza, Maria Grazia/0000-0002-8893-5227			A branch-and-cut algorithm for the Orienteering Arc Routing Problem								COMPUTERS & OPERATIONS RESEARCH				66				95	104		10.1016/j.cor.2015.08.003					FEB 2016	2016																		0305-0548	1873-765X		WOS:000366779900009		
J	Archetti, Claudia; Feillet, Dominique; Hertz, Alain; Speranza, M. Grazia					Speranza, Maria Grazia/0000-0002-8893-5227; Feillet, Dominique/0000-0003-1246-223X			The undirected capacitated arc routing problem with profits								COMPUTERS & OPERATIONS RESEARCH				37	11	SI		1860	1869		10.1016/j.cor.2009.05.005					NOV 2010	2010																		0305-0548			WOS:000278504000005		
J	Archetti, Claudia; Bertazzi, Luca; Lagana, Demetrio; Vocaturo, Francesca				Vocaturo, Francesca/C-6563-2016; Lagana, Demetrio/Q-3039-2016	Vocaturo, Francesca/0000-0001-7487-1077; Lagana, Demetrio/0000-0003-2618-6715; Archetti, Claudia/0000-0002-3524-1600			The Undirected Capacitated General Routing Problem with Profits								EUROPEAN JOURNAL OF OPERATIONAL RESEARCH				257	3			822	833		10.1016/j.ejor.2016.08.001					MAR 16 2017	2017																		0377-2217	1872-6860		WOS:000389098100011		
J	Archetti, Claudia; Corberan, Angel; Plana, Isaac; Maria Sanchis, Jose; Grazia Speranza, M.				Corberan, Angel/K-2435-2014; SANCHIS, JOSE M/H-5912-2015; Plana, Isaac/H-6656-2015	SANCHIS, JOSE M/0000-0002-0039-8122; Plana, Isaac/0000-0002-0516-4608; Corberan, Angel/0000-0002-0664-4232; Archetti, Claudia/0000-0002-3524-1600; Speranza, Maria Grazia/0000-0002-8893-5227			A matheuristic for the Team Orienteering Arc Routing Problem								EUROPEAN JOURNAL OF OPERATIONAL RESEARCH				245	2			392	401		10.1016/j.ejor.2015.03.022					SEP 1 2015	2015																		0377-2217	1872-6860		WOS:000355360900005		
J	Archetti, Claudia; Speranza, M. Grazia; Corberan, Angel; Sanchis, Jose M.; Plana, Isaac				Plana, Isaac/H-6656-2015; Corberan, Angel/K-2435-2014; SANCHIS, JOSE M/H-5912-2015	Plana, Isaac/0000-0002-0516-4608; SANCHIS, JOSE M/0000-0002-0039-8122; Speranza, Maria Grazia/0000-0002-8893-5227			The Team Orienteering Arc Routing Problem								TRANSPORTATION SCIENCE				48	3			442	457		10.1287/trsc.2013.0484					AUG 2014	2014																		0041-1655			WOS:000340729400008		
J	Avila, Thais; Corberan, Angel; Plana, Isaac; Sanchis, Jose M.					Corberan, Angel/0000-0002-0664-4232			Formulations and exact algorithms for the distance-constrained generalized directed rural postman problem								EURO JOURNAL ON COMPUTATIONAL OPTIMIZATION				5	3			339	365		10.1007/s13675-015-0053-8					SEP 2017	2017																		2192-4406	2192-4414		WOS:000407580000002		
J	Avila, Thais; Corberan, Angel; Plana, Isaac; Sanchis, Jose M.				SANCHIS, JOSE M/H-5912-2015	SANCHIS, JOSE M/0000-0002-0039-8122			A branch-and-cut algorithm for the profitable windy rural postman problem								EUROPEAN JOURNAL OF OPERATIONAL RESEARCH				249	3			1092	1101		10.1016/j.ejor.2015.10.016					MAR 16 2016	2016																		0377-2217	1872-6860		WOS:000370463500027		
J	Avila, Thais; Corberan, Angel; Plana, Isaac; Sanchis, Jose M.				Plana, Isaac/H-6656-2015; SANCHIS, JOSE M/H-5912-2015; Corberan, Angel/K-2435-2014	Plana, Isaac/0000-0002-0516-4608; SANCHIS, JOSE M/0000-0002-0039-8122; Corberan, Angel/0000-0002-0664-4232			The Stacker Crane Problem and the Directed General Routing Problem								NETWORKS				65	1			43	55		10.1002/net.21591					JAN 2015	2015																		0028-3045	1097-0037		WOS:000348763600004		
