,key,cited,X,author,year,title,journal,dwn_.,Downloaded,Benchmarks_origins,Benchmarks_used,Solution_tech,Version,exact,heuristic,EA,sol_tech
0,"WILLEMSE EJ, 2019, COMPUT OPER RES","BELENGUER JM, 2006, COMPUT OPER RES;BEULLENS P, 2003, EUR J OPER RES;CORBERAN A, 2010, NETWORKS;GOUVEIA L, 2010, COMPUT OPER RES;LACOMME P, 2004, ANN OPER RES;VIDAL T, 2017, OPER RES;WILLEMSE EJ, 2016, OPER RES LETT;WILLEMSE EJ, 2016, DATA BRIEF;WILLEMSE EJ, 2016, COMPUT OPER RES;DELL'AMICO M, 2016, TRANSP SCI;MUYLDERMANS L, 2014, ARC ROUTING: PROBLEMS, METHODS, AND APPLICATIONS;PRINS C, 2014, ARC ROUTING: PROBLEMS, METHODS, AND APPLICATIONS;SANTOS L, 2010, TRANSP RES PT B-METHODOL","WILLEMSE EJ, 2019, COMPUT OPER RES",WILLEMSE EJ;JOUBERT JW,2019,EFFICIENT LOCAL SEARCH STRATEGIES FOR THE MIXED CAPACITATED ARC ROUTING PROBLEMS UNDER TIME RESTRICTIONS WITH INTERMEDIATE FACILITIES,COMPUTERS \& OPERATIONS RESEARCH,167,1,cen-if;act-if;mval;lpr,lpr;mval;cen-IF;act-IF;lpr-IF;mval-IF-3L,LS,,False,True,False,heuristic
1,"ARAKAKI RK, 2019, COMPUT OPER RES","ARAKAKI RK, 2018, COMPUT OPER RES;BELENGUER JM, 2006, COMPUT OPER RES;BEULLENS P, 2003, EUR J OPER RES;BODE C, 2014, EUR J OPER RES;BOSCO A, 2013, OPTIM LETT;BRANDAO J, 2008, COMPUT OPER RES;GRANDINETTI L, 2012, COMPUT OPER RES;LACOMME P, 2004, ANN OPER RES;POLACEK M, 2008, J HEURISTICS;SANTOS L, 2009, COMPUT OPER RES;USBERTI FL, 2013, COMPUT OPER RES;USBERTI FL, 2011, COMPUT OPER RES;VANSTEENWEGEN P, 2010, COMPUT OPER RES;LIU G, 2014, CAN J CIV ENG;MUYLDERMANS L, 2014, ARC ROUTING: PROBLEMS, METHODS, AND APPLICATIONS;PRINS C, 2014, ARC ROUTING: PROBLEMS, METHODS, AND APPLICATIONS;SANTOS L, 2010, TRANSP RES PT B-METHODOL;TANG K, 2009, IEEE TRANS EVOL COMPUT","ARAKAKI RK, 2019, COMPUT OPER RES",ARAKAKI RK;USBERTI FL,2019,AN EFFICIENCY-BASED PATH-SCANNING HEURISTIC FOR THE CAPACITATED ARC ROUTING PROBLEM,COMPUTERS \& OPERATIONS RESEARCH,6,1,gdb;val;egl;bmcv,gdb;val;egl;bmcv,heuristic,,False,True,False,heuristic
2,"TFAILI S, 2019, RAIRO-OPER RES","BELENGUER JM, 2006, COMPUT OPER RES;BELENGUER JM, 2003, COMPUT OPER RES;BODE C, 2012, OPER RES;FOULDS L, 2015, ANN OPER RES;HERTZ A, 2000, OPER RES;LONGO H, 2006, COMPUT OPER RES;KANSOU A, 2009, CIE: 2009 INTERNATIONAL CONFERENCE ON COMPUTERS AND INDUSTRIAL ENGINEERING, VOLS 1-3","TFAILI S, 2019, RAIRO-OPER RES",TFAILI S;DKHIL H;SBIHI A;YASSINE A,2019,EFFICIENT ALGORITHMS UNDER DYNAMIC GRAPHS TO SOLVE THE CAPACITATED ARC ROUTING PROBLEM WITH FEASIBLE SPARSE GRAPH,RAIRO-OPERATIONS RESEARCH,149,1,family,family,exact,,True,False,False,exact
3,"MOFID-NAKHAEE E, 2019, WASTE MANAGE RES","AMPONSAH SK, 2004, WASTE MANAGE;BAUTISTA J, 2008, COMPUT OPER RES;BELENGUER JM, 2006, COMPUT OPER RES;CHU F, 2005, J INTELL MANUF;FLEURY G, 2005, J OPER RES SOC;GHIANI G, 2001, NETWORKS;LACOMME P, 2006, COMPUT OPER RES;LACOMME P, 2005, EUR J OPER RES;MUYLDERMANS L, 2010, COMPUT OPER RES;POLACEK M, 2008, J HEURISTICS;RIQUELME-RODRIGUEZ JP, 2014, J OPER RES SOC;WILLEMSE EJ, 2016, OPER RES LETT;WILLEMSE EJ, 2016, DATA BRIEF;WILLEMSE EJ, 2016, COMPUT OPER RES;BELENGUER JM, 2010, TRANSP SCI;LAPORTE G, 2010, TRANSP SCI;MEI Y, 2011, IEEE TRANS SYST MAN CYBERN PART B-CYBERN;MEI Y, 2011, IEEE TRANS EVOL COMPUT;MONROY IM, 2013, DISCRET APPL MATH;TANG K, 2017, IEEE T CYBERN;VECCHI TPB, 2016, PROCESS SAF ENVIRON PROTECT;WANG J, 2016, IEEE TRANS EVOL COMPUT;XING LN, 2011, IEEE TRANS SYST MAN CYBERN PART B-CYBERN","MOFID-NAKHAEE E, 2019, WASTE MANAGE RES",MOFID NAKHAEE E;BARZINPOUR F,2019,A MULTI-COMPARTMENT CAPACITATED ARC ROUTING PROBLEM WITH INTERMEDIATE FACILITIES FOR SOLID WASTE COLLECTION USING HYBRID ADAPTIVE LARGE NEIGHBORHOOD SEARCH AND WHALE ALGORITHM,WASTE MANAGEMENT \& RESEARCH,113,1,gdb;mval;lpr,gdb-IF-3L;mval-IF-3L;lpr-IF-3L,metaheuristic;adaptive-large-neighbourhood-search,,False,True,False,heuristic
4,"LI M, 2018, COMPUT IND ENG","LACOMME P, 2005, EUR J OPER RES;LOPES RB, 2014, COMPUT OPER RES;RIQUELME-RODRIGUEZ JP, 2016, COMPUT OPER RES;MONROY IM, 2013, DISCRET APPL MATH","LI M, 2018, COMPUT IND ENG",LI M;ZHEN L;WANG S;LV W;QU X,2018,UNMANNED AERIAL VEHICLE SCHEDULING PROBLEM FOR TRAFFIC MONITORING,COMPUTERS \& INDUSTRIAL ENGINEERING,89,1,real,real,exact,,True,False,False,exact
5,"TIRKOLAEE EB, 2018, WASTE MANAGE","CHU F, 2005, J INTELL MANUF;LACOMME P, 2005, EUR J OPER RES;LAPORTE G, 2010, TRANSP SCI","TIRKOLAEE EB, 2018, WASTE MANAGE",TIRKOLAEE EB;MANDAVI I;ESFAHANI MMS,2018,A ROBUST PERIODIC CAPACITATED ARC ROUTING PROBLEM FOR URBAN WASTE COLLECTION CONSIDERING DRIVERS AND CREW'S WORKING TIME,WASTE MANAGEMENT,152,1,random,random,heuristic,,False,True,False,heuristic
6,"SHANG R, 2018, NAT COMPUT","BALDACCI R, 2006, NETWORKS;BELENGUER JM, 2003, COMPUT OPER RES;BEULLENS P, 2003, EUR J OPER RES;BRANDAO J, 2008, COMPUT OPER RES;HERTZ A, 2000, OPER RES;LACOMME P, 2006, COMPUT OPER RES;LACOMME P, 2004, ANN OPER RES;LONGO H, 2006, COMPUT OPER RES;MOURAO MC, 2009, EUR J OPER RES;SANTOS L, 2009, COMPUT OPER RES;DOERNER KF, 2004, ANT COLONY OPTIMIZATION AND SWARM INTELLIGENCE, PROCEEDINGS;HERTZ A, 2001, TRANSP SCI;LACOMME P, 2001, APPLICATIONS OF EVOLUTIONARY COMPUTING, PROCEEDINGS;LACOMME P, 2001, SIMULATION IN INDUSTRY 2001;MEI Y, 2013, 2013 IEEE CONGRESS ON EVOLUTIONARY COMPUTATION (CEC);MEI Y, 2014, IEEE TRANS EVOL COMPUT;MEI Y, 2014, 2014 IEEE CONGRESS ON EVOLUTIONARY COMPUTATION (CEC);MEI Y, 2011, IEEE TRANS SYST MAN CYBERN PART B-CYBERN;MEI Y, 2011, IEEE TRANS EVOL COMPUT;MEI Y, 2011, IEEE TRANS SYST MAN CYBERN PART B-CYBERN;MEI Y, 2011, IEEE TRANS EVOL COMPUT;MEI Y, 2009, IEEE TRANS SYST MAN CYBERN PART B-CYBERN;MEI Y, 2009, 2009 IEEE CONGRESS ON EVOLUTIONARY COMPUTATION, VOLS 1-5;TANG K, 2017, IEEE T CYBERN;TANG K, 2009, IEEE TRANS EVOL COMPUT;WANG J, 2016, IEEE TRANS EVOL COMPUT","SHANG R, 2018, NAT COMPUT",SHANG R;DU B;DAI K;JIAO L;XUE Y,2018,MEMETIC ALGORITHM BASED ON EXTENSION STEP AND STATISTICAL FILTERING FOR LARGE-SCALE CAPACITATED ARC ROUTING PROBLEMS,NATURAL COMPUTING,139,1,bmcv;egl-g,bmcv;egl-g,EA,,False,False,True,EA
7,"CIANCIO C, 2018, EUR J OPER RES","ARCHETTI C, 2017, EUR J OPER RES;BACH L, 2016, NETWORKS;BACH L, 2013, COMPUT OPER RES;BALDACCI R, 2006, NETWORKS;BARTOLINI E, 2013, MATH PROGRAM;BODE C, 2012, OPER RES;BOSCO A, 2014, NETWORKS;BOSCO A, 2013, OPTIM LETT;BRAYSY O, 2011, EXPERT SYST APPL;IRNICH S, 2015, EUR J OPER RES;DELL'AMICO M, 2016, TRANSP SCI;REGHIOUI M, 2007, APPLICATIONS OF EVOLUTIONARY COMPUTING, PROCEEDINGS","CIANCIO C, 2018, EUR J OPER RES",CIANCIO C;LAGANA D;VOCATURO F,2018,BRANCH-PRICE-AND-CUT FOR THE MIXED CAPACITATED GENERAL ROUTING PROBLEM WITH TIME WINDOWS,EUROPEAN JOURNAL OF OPERATIONAL RESEARCH,39,1,gdb;val;egl;TW,BHW;TW,exact,,True,False,False,exact
8,"TIRKOLAEE EB, 2018, SUSTAINABILITY","CORBERAN A, 2010, NETWORKS;GHIANI G, 2010, J HEURISTICS;LACOMME P, 2006, COMPUT OPER RES;LACOMME P, 2005, EUR J OPER RES;FLEURY G, 2004, APPLICATIONS OF EVOLUTIONARY COMPUTING;LACOMME P, 2001, APPLICATIONS OF EVOLUTIONARY COMPUTING, PROCEEDINGS;LACOMME P, 2001, SIMULATION IN INDUSTRY 2001;LAPORTE G, 2010, TRANSP SCI","TIRKOLAEE EB, 2018, SUSTAINABILITY",TIRKOLAEE EB;HOSSEINABADI AAR;SOLTANI M;SANGAIAH AK;WANG J,2018,A HYBRID GENETIC ALGORITHM FOR MULTI-TRIP GREEN CAPACITATED ARC ROUTING PROBLEM IN THE SCOPE OF URBAN SERVICES,SUSTAINABILITY,151,1,random,random,EA,,False,False,True,EA
9,"SHANG R, 2018, MEMET COMPUT","HERTZ A, 2000, OPER RES;LACOMME P, 2004, ANN OPER RES;FENG L, 2015, IEEE TRANS EVOL COMPUT;HERTZ A, 2001, TRANSP SCI;MEI Y, 2014, IEEE TRANS EVOL COMPUT;MEI Y, 2014, 2014 IEEE CONGRESS ON EVOLUTIONARY COMPUTATION (CEC);MEI Y, 2011, IEEE TRANS SYST MAN CYBERN PART B-CYBERN;MEI Y, 2011, IEEE TRANS EVOL COMPUT;MEI Y, 2011, IEEE TRANS SYST MAN CYBERN PART B-CYBERN;MEI Y, 2011, IEEE TRANS EVOL COMPUT;MEI Y, 2009, IEEE TRANS SYST MAN CYBERN PART B-CYBERN;MEI Y, 2009, 2009 IEEE CONGRESS ON EVOLUTIONARY COMPUTATION, VOLS 1-5;TANG K, 2009, IEEE TRANS EVOL COMPUT","SHANG R, 2018, MEMET COMPUT",SHANG R;DU B;DAI K;JIAO L;ESFAHANI AMG;STOLKIN R,2018,QUANTUM-INSPIRED IMMUNE CLONAL ALGORITHM FOR SOLVING LARGE-SCALE CAPACITATED ARC ROUTING PROBLEMS,MEMETIC COMPUTING,138,1,gdb;val;bmcv,gdb;val;bmcv,EA,,False,False,True,EA
